Num,Timestamp,C0,T0,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,S0,S1,S2,S3,S4,S5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
18,2022-10-26T08:17:38.964Z,-0.0755977928638458mA,27.875°,-4.540940284729mA,29.4375°,-3.57716703414917mA,29.5°,-1.12429690361022mA,32.25°,0.00814955215901136mA,32.375°,-0.140795201063156mA,32.125°,-0.294959306716918m/s,-0.00741931470111012m/s,-0.0612916275858879m/s,0.963651299476623m/s,-0.0352229885756969m/s,-0.707988858222961m/s,0.0864649415016174mA,1,0,FALSE
19,2022-10-26T08:17:39.964Z,0.565559923648834mA,27.875°,-2.89270639419555mA,29.4375°,-0.898230552673339mA,29.5°,-0.578501045703887mA,32.25°,0.877194166183471mA,32.375°,-0.0136818084865808mA,32.125°,0.00101221504155546m/s,0.00712660746648907m/s,2.57779073715209m/s,-0.536637425422668m/s,7.46452060411684e-05m/s,0.665149807929992m/s,0.083918809890747mA,1,0,FALSE
20,2022-10-26T08:17:40.967Z,-0.177748024463653mA,27.9375°,-2.96066641807556mA,29.4375°,-1.93753981590271mA,29.5°,-0.132591009140014mA,32.25°,0.250593960285186mA,32.4375°,0.220356836915016mA,32.125°,-0.0219503846019506m/s,0.0094801876693964m/s,0.00768015068024396m/s,0.0841713771224021m/s,0.0428106226027011m/s,-0.109235197305679m/s,0.083239197731018mA,1,1,F
21,2022-10-26T08:17:41.975Z,-0.161906525492668mA,27.875°,-1.92220163345336mA,29.4375°,-1.39989161491394mA,29.5°,-0.582863390445709mA,32.25°,-0.000423390069045126mA,32.4375°,0.143993318080902mA,32.125°,0.0m/s,0.0m/s,4.62662574136629e-05m/s,0.0m/s,0.0m/s,0.0m/s,0.083918809890747mA,1,1,FALSE
22,2022-10-26T08:17:42.989Z,-0.132234692573547mA,27.875°,-2.05655264854431mA,29.4375°,-1.35330116748809mA,29.5°,-0.586860656738281mA,32.25°,-0.040784765034914mA,32.375°,0.110979378223419mA,32.125°,-1.40129846432481e-45m/s,3.86979372157814e-11m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0966494679450988mA,1,1,FALSE
23,2022-10-26T08:17:43.990Z,-0.13334435224533mA,27.875°,-2.10252428054809mA,29.4375°,-1.3349050283432mA,29.5°,-0.570557653903961mA,32.25°,-0.0234022699296474mA,32.375°,0.0756751149892807mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0851057171821594mA,1,1,FALSE
24,2022-10-26T08:17:45.005Z,-0.1329777687788mA,27.9375°,-2.09583115577697mA,29.4375°,-1.33627772331237mA,29.5°,-0.573531746864318mA,32.25°,-0.036635223776102mA,32.4375°,0.0947169810533523mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0908775925636291mA,1,1,FALSE
25,2022-10-26T08:17:46.006Z,-0.148091956973075mA,27.9375°,-2.08482122421264mA,29.4375°,-1.33377957344055mA,29.5°,-0.569730162620544mA,32.25°,-0.0231773518025875mA,32.4375°,0.0621560811996459mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0875657200813293mA,1,0,FALSE
8,2022-10-26T08:17:28.903Z,0.0756569951772689mA,27.875°,-1.83646476268768mA,29.375°,-0.961322426795959mA,29.4375°,-0.512540757656097mA,32.1875°,-0.0218445193022489mA,32.3125°,0.0392284430563449mA,32.0625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0870583653450012mA,1,0,FALSE
9,2022-10-26T08:17:29.905Z,-0.186848357319831mA,27.875°,-2.56373834609985mA,29.375°,-1.41893362998962mA,29.4375°,-0.262015104293823mA,32.1875°,0.0999419391155242mA,32.3125°,-0.173527032136917mA,32.0625°,-0.166003569960594m/s,0.00240865373052656m/s,-0.0154825886711478m/s,0.350063204765319m/s,-0.00998554099351167m/s,-0.192710176110267m/s,0.0857853293418884mA,1,0,FALSE
10,2022-10-26T08:17:30.909Z,-0.158912256360054mA,27.875°,-1.75077736377716mA,29.375°,-1.97940039634704mA,29.4375°,-0.184549927711486mA,32.1875°,0.0791570618748664mA,32.3125°,-0.209540769457817mA,32.0625°,0.0983230397105217m/s,0.0049957507289946m/s,-0.016995683312416m/s,0.496241122484207m/s,-0.0173527542501688m/s,-0.588686048984527m/s,0.0850195884704589mA,1,0,FALSE
11,2022-10-26T08:17:31.909Z,1.01408648490905mA,27.875°,-1.87529575824737mA,29.375°,-0.549352586269378mA,29.4375°,-0.782304286956787mA,32.1875°,-0.15929028391838mA,32.3125°,-0.0953236371278762mA,32.125°,0.00255903229117393m/s,-0.00655909907072782m/s,2.59407114982605m/s,-0.579771041870117m/s,0.0m/s,0.642610073089599m/s,0.0788266062736511mA,1,0,FALSE
12,2022-10-26T08:17:32.924Z,-0.401867747306823mA,27.875°,-3.17460227012634mA,29.375°,-1.05097723007202mA,29.5°,-0.39667928218841497mA,32.1875°,-0.114071279764175mA,32.3125°,0.209455430507659mA,32.0625°,-0.238060280680656m/s,-0.0301450155675411m/s,-0.0327993892133235m/s,0.232323542237281m/s,0.0641457885503768m/s,0.0149858091026544m/s,0.093337595462799mA,1,0,FALSE
13,2022-10-26T08:17:33.929Z,-0.888249158859252mA,27.875°,-1.72417414188385mA,29.375°,-1.74169266223907mA,29.5°,-0.0989516675472259mA,32.1875°,0.279280871152877mA,32.375°,0.0436390526592731mA,32.0625°,0.102189674973487m/s,0.145653635263443m/s,-2.5245521068573m/s,0.393293470144271m/s,0.0m/s,-0.488444119691848m/s,0.0826457738876342mA,1,0,FALSE
14,2022-10-26T08:17:34.936Z,-0.0488976836204528mA,27.875°,-2.02362823486328mA,29.4375°,-1.57418835163116mA,29.4375°,-0.459635257720947mA,32.25°,0.0923697128891944mA,32.375°,0.0314100719988346mA,32.125°,0.0m/s,0.0m/s,-0.000265061215031892m/s,5.33277726747646e-21m/s,-4.22552103716286e-32m/s,0.0m/s,0.0831531286239624mA,1,0,FALSE
15,2022-10-26T08:17:35.950Z,0.298313319683074mA,27.875°,-1.75552642345428mA,29.375°,-0.730017900466919mA,29.5°,-0.83985149860382mA,32.25°,-0.14594092965126mA,32.375°,0.184525415301322mA,32.125°,0.18175683915615m/s,-0.0368991009891033m/s,0.031121889129281m/s,-0.401681661605834m/s,0.0160146169364452m/s,0.208911523222923m/s,0.0869722962379455mA,1,0,FALSE
16,2022-10-26T08:17:36.954Z,-0.0902507901191711mA,27.875°,-1.67521357536315mA,29.375°,-0.7911878824234mA,29.5°,-0.696012139320373mA,32.1875°,-0.124836757779121mA,32.375°,-0.0206533409655094mA,32.125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,5.77902610530145e-05m/s,0.087651789188385mA,1,0,f
17,2022-10-26T08:17:37.954Z,-0.0569290667772293mA,27.875°,-1.60693621635437mA,29.4375°,-0.767417550086975mA,29.4375°,-0.652659654617309mA,32.25°,-0.17290636897087mA,32.4375°,0.0252373553812503mA,32.125°,0.0m/s,0.0017609876813367m/s,0.0m/s,-0.00152060843538492m/s,0.0m/s,0.0m/s,0.172946810722351mA,1,0,FALSE
18,2022-10-26T08:17:38.964Z,-0.0755977928638458mA,27.875°,-4.540940284729mA,29.4375°,-3.57716703414917mA,29.5°,-1.12429690361022mA,32.25°,0.00814955215901136mA,32.375°,-0.140795201063156mA,32.125°,-0.294959306716918m/s,-0.00741931470111012m/s,-0.0612916275858879m/s,0.963651299476623m/s,-0.0352229885756969m/s,-0.707988858222961m/s,0.0864649415016174mA,1,0,FALSE
19,2022-10-26T08:17:39.964Z,0.565559923648834mA,27.875°,-2.89270639419555mA,29.4375°,-0.898230552673339mA,29.5°,-0.578501045703887mA,32.25°,0.877194166183471mA,32.375°,-0.0136818084865808mA,32.125°,0.00101221504155546m/s,0.00712660746648907m/s,2.57779073715209m/s,-0.536637425422668m/s,7.46452060411684e-05m/s,0.665149807929992m/s,0.083918809890747mA,1,0,FALSE
20,2022-10-26T08:17:40.967Z,-0.177748024463653mA,27.9375°,-2.96066641807556mA,29.4375°,-1.93753981590271mA,29.5°,-0.132591009140014mA,32.25°,0.250593960285186mA,32.4375°,0.220356836915016mA,32.125°,-0.0219503846019506m/s,0.0094801876693964m/s,0.00768015068024396m/s,0.0841713771224021m/s,0.0428106226027011m/s,-0.109235197305679m/s,0.083239197731018mA,1,1,FALSE
21,2022-10-26T08:17:41.975Z,-0.161906525492668mA,27.875°,-1.92220163345336mA,29.4375°,-1.39989161491394mA,29.5°,-0.582863390445709mA,32.25°,-0.000423390069045126mA,32.4375°,0.143993318080902mA,32.125°,0.0m/s,0.0m/s,4.62662574136629e-05m/s,0.0m/s,0.0m/s,0.0m/s,0.083918809890747mA,1,1,FALSE
22,2022-10-26T08:17:42.989Z,-0.132234692573547mA,27.875°,-2.05655264854431mA,29.4375°,-1.35330116748809mA,29.5°,-0.586860656738281mA,32.25°,-0.040784765034914mA,32.375°,0.110979378223419mA,32.125°,-1.40129846432481e-45m/s,3.86979372157814e-11m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0966494679450988mA,1,1,FALSE
23,2022-10-26T08:17:43.990Z,-0.13334435224533mA,27.875°,-2.10252428054809mA,29.4375°,-1.3349050283432mA,29.5°,-0.570557653903961mA,32.25°,-0.0234022699296474mA,32.375°,0.0756751149892807mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0851057171821594mA,1,1,FALSE
24,2022-10-26T08:17:45.005Z,-0.1329777687788mA,27.9375°,-2.09583115577697mA,29.4375°,-1.33627772331237mA,29.5°,-0.573531746864318mA,32.25°,-0.036635223776102mA,32.4375°,0.0947169810533523mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0908775925636291mA,1,1,FALSE
25,2022-10-26T08:17:46.006Z,-0.148091956973075mA,27.9375°,-2.08482122421264mA,29.4375°,-1.33377957344055mA,29.5°,-0.569730162620544mA,32.25°,-0.0231773518025875mA,32.4375°,0.0621560811996459mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0875657200813293mA,1,0,FALSE
26,2022-10-26T08:17:47.011Z,-0.13397204875946mA,27.9375°,-2.08642959594726mA,29.4375°,-1.34616768360137mA,29.5°,-0.576570391654968mA,32.3125°,-0.0422876328229904mA,32.4375°,0.0635061860084533mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.083918809890747mA,1,0,FALSE
27,2022-10-26T08:17:48.015Z,-0.132555454969406mA,27.9375°,-2.08828687667846mA,29.5°,-1.32986235618591mA,29.5°,-0.579483449459075mA,32.3125°,-0.053200326859951mA,32.4375°,0.0985790565609932mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0826457738876342mA,1,0,FALSE
28,2022-10-26T08:17:49.021Z,-0.13732573390007mA,27.9375°,-2.08002924919128mA,29.4375°,-1.33481466770172mA,29.5°,-0.573686003684997mA,32.3125°,-0.0298852082341909mA,32.5°,0.0753889828920364mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0845122933387756mA,1,0,FALSE
29,2022-10-26T08:17:50.024Z,-0.14347830414772mA,27.9375°,-2.07472729682922mA,29.5°,-1.33399891853332mA,29.5°,-0.562747836112976mA,32.3125°,-0.0162519477307796mA,32.4375°,0.0739454180002212mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,2.83168606074468e-06m/s,0.0m/s,0.0m/s,0.0864649415016174mA,1,0,FALSE
30,2022-10-26T08:17:51.027Z,-0.138683781027793mA,27.9375°,-2.07731986045837mA,29.5°,-1.33248901367187mA,29.5°,-0.524802207946777mA,32.25°,-0.00235558860003948mA,32.4375°,0.0819147452712059mA,32.1875°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0863787531852722mA,1,0,FALSE
31,2022-10-26T08:17:52.031Z,-0.0944297686219215mA,27.9375°,-1.93108677864074mA,29.5°,-1.40364456176757mA,29.5625°,-0.544737815856933mA,32.3125°,0.0811936855316162mA,32.5°,0.0467309728264808mA,32.25°,2.20284118591861e-41m/s,0.00143676018342375m/s,1.14106767648717e-24m/s,0.00133281445596367m/s,-6.48842833470553e-05m/s,-0.00049880554433912m/s,0.0826457738876342mA,1,1,FALSE
32,2022-10-26T08:17:53.036Z,-0.0643498301506042mA,27.9375°,-1.82972979545593mA,29.4375°,-1.46646857261657mA,29.5625°,-0.50596135854721mA,32.3125°,0.0559080988168716mA,32.5°,0.162888258695602mA,32.25°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,1.60058145961884e-21m/s,0.0m/s,0.088331401348114mA,1,1,FALSE
33,2022-10-26T08:17:54.050Z,-0.0837619975209236mA,27.9375°,-1.9551842212677mA,29.5°,-1.45539057254791mA,29.5625°,-0.513757705688476mA,32.3125°,0.0688748359680175mA,32.5°,0.118648722767829mA,32.25°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0915572047233581mA,1,1,FALSE
52,2022-10-26T08:18:13.158Z,-0.209170222282409mA,28.0°,-1.82730317115783mA,29.5°,-1.72445201873779mA,29.625°,-0.31721144914627mA,32.375°,0.162849679589271mA,32.625°,-0.142983496189117mA,32.375°,0.0644828081130981m/s,0.000753512722440064m/s,-0.00293946056626737m/s,0.195657163858413m/s,-0.0057168286293745m/s,-0.263059437274932m/s,0.0812864899635315mA,2,0,FALSE
53,2022-10-26T08:18:14.161Z,0.984270930290222mA,28.0°,-1.14850914478302mA,29.5625°,-0.39270469546318mA,29.625°,-0.617329537868499mA,32.4375°,-0.382666200399398mA,32.625°,-0.210291981697082mA,32.375°,0.0468830950558185m/s,-0.0221848282963037m/s,-0.0243371650576591m/s,-0.230528727173805m/s,-0.0320595949888229m/s,0.132148578763008m/s,0.083325445652008mA,2,0,FALSE
54,2022-10-26T08:18:15.162Z,-0.299174487590789mA,28.0°,-2.26695203781127mA,29.5625°,-1.31233656406402mA,29.6875°,-0.297570049762725mA,32.4375°,-0.342675924301147mA,32.625°,0.233138799667358mA,32.375°,-0.188076078891754m/s,-0.0442189052700996m/s,-0.0343958958983421m/s,0.433072239160537m/s,0.0790609344840049m/s,-0.20946916937828m/s,0.082559585571289mA,2,0,FALSE
55,2022-10-26T08:18:16.177Z,-0.29578560590744mA,28.0°,-2.03156280517578mA,29.5°,-1.6306847333908mA,29.625°,-0.402876079082489mA,32.375°,0.106799945235252mA,32.625°,0.0387084484100341mA,32.375°,0.0m/s,-0.00980792194604873m/s,0.00709932437166571m/s,0.000176039990037679m/s,5.83606539179095e-27m/s,-0.000756951456423848m/s,0.0812004208564758mA,2,0,FALSE
56,2022-10-26T08:18:17.178Z,0.202262610197067mA,28.0°,-2.51068449020385mA,29.5625°,-0.247334733605384mA,29.625°,-1.03103029727935mA,32.4375°,-0.139639556407928mA,32.625°,0.214470654726028mA,32.375°,-0.188545674085617m/s,-0.0586910732090473m/s,0.0592433325946331m/s,-0.986024975776672m/s,0.0468090549111366m/s,1.13126671314239m/s,0.0813726782798767mA,2,0,FALSE
57,2022-10-26T08:18:18.178Z,-0.0928742364048957mA,28.0°,-1.69376254081726mA,29.5625°,-0.820012807846069mA,29.6875°,-0.643888413906097mA,32.4375°,-0.123012714087963mA,32.625°,0.0996728986501693mA,32.375°,0.0m/s,-0.000166859797900542m/s,-7.19898962415754e-05m/s,1.24849228936984e-22m/s,6.67242971985615e-09m/s,2.30521418416174e-05m/s,0.0870583653450012mA,2,0,FALSE
58,2022-10-26T08:18:19.192Z,-0.0944531038403511mA,28.0°,-1.60027205944061mA,29.5625°,-0.75484025478363mA,29.625°,-0.667159497737884mA,32.4375°,-0.0996377915143966mA,32.625°,0.000295099336653947mA,32.375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.168534159660339mA,2,0,TRUE
59,2022-10-26T08:18:20.195Z,-0.0616091713309288mA,28.0°,-1.67993259429931mA,29.5625°,-0.769278764724731mA,29.6875°,-0.672144711017608mA,32.4375°,-0.0913779139518737mA,32.625°,-0.00282208016142249mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,-7.69789298392195e-41m/s,0.0m/s,0.0801857709884643mA,2,0,TRUE
60,2022-10-26T08:18:21.196Z,-0.0723965764045715mA,28.0°,-1.71337354183197mA,29.5625°,-0.798495292663574mA,29.6875°,-0.661113083362579mA,32.4375°,-0.079485073685646mA,32.625°,0.0108600882813334mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.088331401348114mA,2,0,TRUE
61,2022-10-26T08:18:22.199Z,-0.0896470695734024mA,28.0°,-1.74068629741668mA,29.625°,-0.793158411979675mA,29.6875°,-0.669852614402771mA,32.4375°,-0.0890309140086174mA,32.625°,0.00816565286368131mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0769601464271545mA,2,0,TRUE
62,2022-10-26T08:18:23.204Z,-0.0907843634486198mA,28.0625°,-1.76758551597595mA,29.625°,-0.807277143001556mA,29.6875°,-0.674916744232177mA,32.4375°,-0.0943236798048019mA,32.6875°,0.0367334149777889mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0870583653450012mA,2,0,TRUE
63,2022-10-26T08:18:24.210Z,-0.0872426331043243mA,28.0°,-1.74892783164978mA,29.625°,-0.807669520378112mA,29.6875°,-0.642491102218627mA,32.4375°,-0.0893671214580535mA,32.6875°,0.0178032927215099mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0806930661201477mA,2,0,TRUE
64,2022-10-26T08:18:25.212Z,-0.0846809074282646mA,28.0°,-1.76326692104339mA,29.625°,-0.829810976982116mA,29.6875°,-0.649054765701294mA,32.4375°,-0.0731123387813568mA,32.6875°,0.000549220480024814mA,32.375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,2.20752614284738e-22m/s,0.0812864899635315mA,2,0,TRUE
65,2022-10-26T08:18:26.215Z,-0.0727502405643463mA,28.0625°,-1.76740729808807mA,29.625°,-0.851390242576599mA,29.6875°,-0.659963905811309mA,32.4375°,-0.0594755038619041mA,32.6875°,-0.0060505005531013mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.097750186920166mA,2,0,TRUE
66,2022-10-26T08:18:27.218Z,-0.0521153844892978mA,28.0°,-1.75765633583068mA,29.625°,-0.842248082160949mA,29.6875°,-0.659354329109191mA,32.5°,-0.0417323559522628mA,32.6875°,-0.000278387917205691mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0920644998550415mA,2,0,TRUE
67,2022-10-26T08:18:28.223Z,-0.0585228130221366mA,28.0625°,-1.74109208583831mA,29.625°,-0.841567575931549mA,29.6875°,-0.651842951774597mA,32.5°,-0.0651280432939529mA,32.6875°,0.024980328977108mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0857853293418884mA,2,0,t
68,2022-10-26T08:18:29.225Z,-0.0699231028556823mA,28.0625°,-1.73951482772827mA,29.625°,-0.840278029441833mA,29.6875°,-0.659410893917083mA,32.5°,-0.0729811489582061mA,32.6875°,0.0197497345507144mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0789126753807067mA,2,0,TRUE
69,2022-10-26T08:18:30.229Z,-0.0558233484625816mA,28.0625°,-1.75080716609954mA,29.625°,-0.845701813697814mA,29.75°,-0.666786074638366mA,32.5°,-0.0522804111242294mA,32.6875°,0.0406697243452072mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0806930661201477mA,2,0,TRUE
70,2022-10-26T08:18:31.233Z,-0.0886696577072143mA,28.0625°,-1.77493166923522mA,29.625°,-0.845317482948303mA,29.6875°,-0.666264653205871mA,32.5°,-0.059106707572937mA,32.6875°,0.0105510605499148mA,32.4375°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0845122933387756mA,2,0,TRUE
